year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate,cancel_rate,divert_rate,date,delay_category
2025,6,B6,JetBlue Airways,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",69,12,2.47,0.0,4.99,0.0,4.53,0,2,1031.0,198.0,0.0,159.0,0.0,674.0,0.17391304347826086,0.0,0.028985507246376812,2025-06-01,poor
2025,6,B6,JetBlue Airways,MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport",34,6,2.26,0.0,0.1,0.0,3.63,1,0,283.0,91.0,0.0,9.0,0.0,183.0,0.17647058823529413,0.029411764705882353,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,ONT,"Ontario, CA: Ontario International",30,11,1.73,0.44,6.51,0.0,2.32,0,0,721.0,167.0,25.0,338.0,0.0,191.0,0.36666666666666664,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",111,27,13.12,0.0,8.86,0.0,5.02,2,1,1735.0,840.0,0.0,588.0,0.0,307.0,0.24324324324324326,0.018018018018018018,0.009009009009009009,2025-06-01,poor
2025,6,B6,JetBlue Airways,ORF,"Norfolk, VA: Norfolk International",30,15,5.21,0.0,4.17,0.0,5.63,0,0,1060.0,261.0,0.0,381.0,0.0,418.0,0.5,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,ORH,"Worcester, MA: Worcester Regional",60,9,4.19,0.63,2.18,0.0,2.01,0,1,550.0,252.0,10.0,54.0,0.0,234.0,0.15,0.0,0.016666666666666666,2025-06-01,poor
2025,6,B6,JetBlue Airways,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",545,165,48.43,2.08,64.72,0.0,49.77,2,2,14004.0,3913.0,338.0,3796.0,0.0,5957.0,0.30275229357798167,0.003669724770642202,0.003669724770642202,2025-06-01,poor
2025,6,B6,JetBlue Airways,PDX,"Portland, OR: Portland International",30,10,1.93,0.0,5.27,0.0,2.81,0,0,597.0,158.0,0.0,260.0,0.0,179.0,0.3333333333333333,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,PHL,"Philadelphia, PA: Philadelphia International",66,25,3.87,0.0,13.3,0.0,7.83,0,0,2074.0,341.0,0.0,1014.0,0.0,719.0,0.3787878787878788,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",60,21,6.27,1.0,11.27,0.0,2.45,0,0,1012.0,305.0,41.0,507.0,0.0,159.0,0.35,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,PIT,"Pittsburgh, PA: Pittsburgh International",138,48,13.97,0.0,7.19,0.0,26.84,1,0,3646.0,931.0,0.0,465.0,0.0,2250.0,0.34782608695652173,0.007246376811594203,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,PQI,"Presque Isle/Houlton, ME: Presque Isle International",30,11,6.88,0.0,1.0,0.0,3.12,0,1,561.0,340.0,0.0,37.0,0.0,184.0,0.36666666666666664,0.0,0.03333333333333333,2025-06-01,poor
2025,6,B6,JetBlue Airways,PSE,"Ponce, PR: Mercedita",49,16,4.24,2.81,4.81,0.0,4.14,1,0,717.0,250.0,64.0,267.0,0.0,136.0,0.32653061224489793,0.02040816326530612,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,PVD,"Providence, RI: Rhode Island Tf Green International",194,49,15.14,3.19,11.75,0.0,18.91,0,0,3768.0,1274.0,450.0,448.0,0.0,1596.0,0.25257731958762886,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,PWM,"Portland, ME: Portland International Jetport",53,18,4.19,0.0,2.63,0.0,11.18,0,0,1744.0,534.0,0.0,139.0,0.0,1071.0,0.33962264150943394,0.0,0.0,2025-06-01,poor
